[2025-11-21T18:50:59.765Z] Console Error | {"args":["An error occurred! For more details, see the full error text at https://go.apollo.dev/c/err#%7B%22version%22%3A%223.8.7%22%2C%22message%22%3A12%2C%22args%22%3A%5B%22treasureTrainDetails%22%2C%22%7B%5Cn%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainApproaching%5C%22%2C%5Cn%20%20%5C%22id%5C%22%3A%20%5C%2286131599%5C%22%2C%5Cn%20%20%5C%22goal%5C%22%3A%203%2C%5Cn%20%20%5C%22creatorColor%5C%22%3A%20%5C%22%5C%22%2C%5Cn%20%20%5C%22participants%5C%22%3A%20%5B%5Cn%20%20%20%20%5C%22208819512%5C%22%2C%5Cn%20%20%20%20%5C%22196964661%5C%22%5Cn%20%20%5D%2C%5Cn%20%20%5C%22isGoldenKappaTrain%5C%22%3A%20false%2C%5Cn%20%20%5C%22eventsRemaining%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainApproachingEventsRemaining%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22events%5C%22%3A%201%2C%5Cn%20%20%20%20%20%20%5C%22secondsRemaining%5C%22%3A%20246%5Cn%20%20%20%20%7D%5Cn%20%20%5D%2C%5Cn%20%20%5C%22levelOneRewards%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_bbbf6d16d9964fcbba2d965a7eea942f%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22type%5C%22%3A%20%5C%22EMOTE%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22emote%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22Emote%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_bbbf6d16d9964fcbba2d965a7eea942f%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22token%5C%22%3A%20%5C%22ConfettiHype%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%2C%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_a3cdcbfcae9b41bb8215b012362eea35%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22type%5C%22%3A%20%5C%22EMOTE%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22emote%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22Emote%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_a3cdcbfcae9b41bb8215b012362eea35%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22token%5C%22%3A%20%5C%22FrogPonder%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%2C%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_7fa0b%22%5D%7D"]}
[2025-11-21T18:50:59.832Z] Console Error | {"args":["An error occurred! For more details, see the full error text at https://go.apollo.dev/c/err#%7B%22version%22%3A%223.8.7%22%2C%22message%22%3A12%2C%22args%22%3A%5B%22treasureTrainDetails%22%2C%22%7B%5Cn%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainApproaching%5C%22%2C%5Cn%20%20%5C%22id%5C%22%3A%20%5C%2286131599%5C%22%2C%5Cn%20%20%5C%22goal%5C%22%3A%203%2C%5Cn%20%20%5C%22creatorColor%5C%22%3A%20%5C%22%5C%22%2C%5Cn%20%20%5C%22participants%5C%22%3A%20%5B%5Cn%20%20%20%20%5C%22208819512%5C%22%2C%5Cn%20%20%20%20%5C%22196964661%5C%22%5Cn%20%20%5D%2C%5Cn%20%20%5C%22isGoldenKappaTrain%5C%22%3A%20false%2C%5Cn%20%20%5C%22eventsRemaining%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainApproachingEventsRemaining%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22events%5C%22%3A%201%2C%5Cn%20%20%20%20%20%20%5C%22secondsRemaining%5C%22%3A%20246%5Cn%20%20%20%20%7D%5Cn%20%20%5D%2C%5Cn%20%20%5C%22levelOneRewards%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_bbbf6d16d9964fcbba2d965a7eea942f%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22type%5C%22%3A%20%5C%22EMOTE%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22emote%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22Emote%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_bbbf6d16d9964fcbba2d965a7eea942f%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22token%5C%22%3A%20%5C%22ConfettiHype%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%2C%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_a3cdcbfcae9b41bb8215b012362eea35%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22type%5C%22%3A%20%5C%22EMOTE%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22emote%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22Emote%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_a3cdcbfcae9b41bb8215b012362eea35%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22token%5C%22%3A%20%5C%22FrogPonder%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%2C%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_7fa0b%22%5D%7D"]}
[2025-11-21T18:50:59.845Z] Console Error | {"args":["An error occurred! For more details, see the full error text at https://go.apollo.dev/c/err#%7B%22version%22%3A%223.8.7%22%2C%22message%22%3A12%2C%22args%22%3A%5B%22treasureTrainDetails%22%2C%22%7B%5Cn%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainApproaching%5C%22%2C%5Cn%20%20%5C%22id%5C%22%3A%20%5C%2286131599%5C%22%2C%5Cn%20%20%5C%22goal%5C%22%3A%203%2C%5Cn%20%20%5C%22creatorColor%5C%22%3A%20%5C%22%5C%22%2C%5Cn%20%20%5C%22participants%5C%22%3A%20%5B%5Cn%20%20%20%20%5C%22208819512%5C%22%2C%5Cn%20%20%20%20%5C%22196964661%5C%22%5Cn%20%20%5D%2C%5Cn%20%20%5C%22isGoldenKappaTrain%5C%22%3A%20false%2C%5Cn%20%20%5C%22eventsRemaining%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainApproachingEventsRemaining%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22events%5C%22%3A%201%2C%5Cn%20%20%20%20%20%20%5C%22secondsRemaining%5C%22%3A%20246%5Cn%20%20%20%20%7D%5Cn%20%20%5D%2C%5Cn%20%20%5C%22levelOneRewards%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_bbbf6d16d9964fcbba2d965a7eea942f%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22type%5C%22%3A%20%5C%22EMOTE%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22emote%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22Emote%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_bbbf6d16d9964fcbba2d965a7eea942f%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22token%5C%22%3A%20%5C%22ConfettiHype%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%2C%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_a3cdcbfcae9b41bb8215b012362eea35%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22type%5C%22%3A%20%5C%22EMOTE%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22emote%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22Emote%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_a3cdcbfcae9b41bb8215b012362eea35%5C%22%2C%5Cn%20%20%20%20%20%20%20%20%5C%22token%5C%22%3A%20%5C%22FrogPonder%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%2C%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22HypeTrainEmoteReward%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22id%5C%22%3A%20%5C%22emotesv2_7fa0b%22%5D%7D"]}
[2025-11-21T18:50:59.872Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:51:00.864Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:51:10.545Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:52:01.684Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:52:10.548Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:52:52.596Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:52:54.179Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
