[METRICS]
Uptime: 310.5s
Ads Detected: 0
Ads Blocked: 0
Resilience Executions: 1
Aggressive Recoveries: 0
Health Triggers: 1
Errors: 6

[LOGS]
[2025-11-22T13:47:42.656Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:48:05.014Z] Frame Drop Detected | {"newDropped":19,"totalDropped":19,"totalFrames":8510}
[2025-11-22T13:48:05.014Z] Severe frame drop detected, triggering recovery
[2025-11-22T13:48:05.014Z] Event: AD_DETECTED
[2025-11-22T13:48:05.014Z] Resilience execution started
[2025-11-22T13:48:05.014Z] Captured player state | {"currentTime":142.122378,"wasPaused":false,"bufferedLength":1,"hasError":false,"errorCode":null,"readyState":4,"networkState":2}
[2025-11-22T13:48:05.014Z] Seeking to buffer end | {"from":142.122378,"to":149.518593}
[2025-11-22T13:48:05.014Z] Event: REPORT | {"status":"SUCCESS"}
[2025-11-22T13:48:09.192Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:48:30.422Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:48:43.552Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:29.868Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:41.297Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:43.604Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:43.844Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:44.075Z] Console Warn | {"args":["An error occurred! For more details, see the full error text at https://go.apollo.dev/c/err#%7B%22version%22%3A%223.8.7%22%2C%22message%22%3A14%2C%22args%22%3A%5B%22goals%22%2C%22Channel%22%2C%22either%20ensure%20all%20objects%20of%20type%20ChannelGoalConnection%20have%20an%20ID%20or%20a%20custom%20merge%20function%2C%20or%20%22%2C%22Channel.goals%22%2C%22%7B%5Cn%20%20%5C%22__typename%5C%22%3A%20%5C%22ChannelGoalConnection%5C%22%2C%5Cn%20%20%5C%22edges%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22ChannelGoalEdge%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22cursor%5C%22%3A%20%5C%22%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22node%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__ref%5C%22%3A%20%5C%22ChannelGoal%3A35F7x6lwmxDKR7gxXU1UJfnYHTY%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%5Cn%20%20%5D%2C%5Cn%20%20%5C%22pageInfo%5C%22%3A%20%7B%5Cn%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22PageInfo%5C%22%2C%5Cn%20%20%20%20%5C%22hasNextPage%5C%22%3A%20false%5Cn%20%20%7D%5Cn%7D%22%2C%22%7B%5Cn%20%20%5C%22__typename%5C%22%3A%20%5C%22ChannelGoalConnection%5C%22%2C%5Cn%20%20%5C%22edges%5C%22%3A%20%5B%5Cn%20%20%20%20%7B%5Cn%20%20%20%20%20%20%5C%22__typename%5C%22%3A%20%5C%22ChannelGoalEdge%5C%22%2C%5Cn%20%20%20%20%20%20%5C%22node%5C%22%3A%20%7B%5Cn%20%20%20%20%20%20%20%20%5C%22__ref%5C%22%3A%20%5C%22ChannelGoal%3A35F7x6lwmxDKR7gxXU1UJfnYHTY%5C%22%5Cn%20%20%20%20%20%20%7D%5Cn%20%20%20%20%7D%5Cn%20%20%5D%5Cn%7D%22%5D%7D"]}
[2025-11-22T13:49:44.239Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KANX7VVPBH742PBGX31TVVEY. OneClickEligibility: unauthenticated","[object Object]"]}
[2025-11-22T13:49:44.242Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:44.757Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KANX7WHQ5V7774V6A2XJB5KC. OneClickEligibility: unauthenticated, SubscriptionRewardPreviews: unauthenticated","[object Object],[object Object]"]}
[2025-11-22T13:49:45.227Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:46.458Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:51.337Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:49:54.878Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:50:29.669Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:50:42.190Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:50:43.053Z] Network Request (Allowed) | {"type":"FETCH","url":"https://assets.twitch.tv/config/manifest.json?v=1"}
[2025-11-22T13:50:43.534Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
